Date,Home Team,Home Points,Away Team,Away Points
2024-08-24,NEVADA,24,SMU,29
2024-08-24,GEORGIA TECH,24,Florida St.,21
2024-08-24,NEW MEXICO,31,Montana St.,35
2024-08-25,HAWAII,35,Delaware St.,14
2024-08-29,TOLEDO,49,Duquesne,10
2024-08-29,ARKANSAS,70,Ark.-Pine Bluff,0
2024-08-29,MINNESOTA,17,North Carolina,19
2024-08-29,BUFFALO,30,Lafayette,13
2024-08-29,CENTRAL MICH.,66,Central Conn. St.,10
2024-08-29,ILLINOIS,45,Eastern Ill.,0
2024-08-29,MISSOURI,51,Murray St.,0
2024-08-29,RUTGERS,44,Howard,7
2024-08-29,BOWLING GREEN,41,Fordham,17
2024-08-29,ULM,30,Jackson St.,14
2024-08-29,JACKSONVILLE ST.,27,Coastal Carolina,55
2024-08-29,KANSAS,48,Lindenwood,3
2024-08-29,WAKE FOREST,45,N.C. A&T,13
2024-08-29,SAN JOSE ST.,42,Sacramento St.,24
2024-08-29,NC STATE,38,Western Caro.,21
2024-08-29,UCF,57,New Hampshire,3
2024-08-29,COLORADO,31,North Dakota St.,26
2024-08-29,UTAH,49,Southern Utah,0
2024-08-29,TULSA,62,Northwestern St.,28
2024-08-29,UAB,41,Alcorn,3
2024-08-29,TULANE,52,Southeastern La.,0
2024-08-30,MICHIGAN ST.,16,Fla. Atlantic,10
2024-08-30,WISCONSIN,28,Western Mich.,14
2024-08-30,OKLAHOMA,51,Temple,3
2024-08-30,DUKE,26,Elon,3
2024-08-30,STANFORD,27,TCU,34
2024-08-30,ARMY WEST POINT,42,Lehigh,7
2024-08-31,INDIANA,31,FIU,7
2024-08-31,PURDUE,49,Indiana St.,0
2024-08-31,OHIO ST.,52,Akron,6
2024-08-31,SMU,59,Houston Christian,7
2024-08-31,TEXAS A&M,13,Notre Dame,23
2024-08-31,FLORIDA,17,Miami (FL),41
2024-08-31,LOUISIANA,40,Grambling,10
2024-08-31,GA. SOUTHERN,45,Boise St.,56
2024-08-31,PITTSBURGH,55,Kent St.,24
2024-08-31,IOWA ST.,21,North Dakota,3
2024-08-31,KENTUCKY,31,Southern Miss.,0
2024-08-31,IOWA,40,Illinois St.,0
2024-08-31,SOUTH CAROLINA,23,Old Dominion,19
2024-08-31,OLE MISS,76,Furman,0
2024-08-31,MISSISSIPPI ST.,56,Eastern Ky.,7
2024-08-31,VANDERBILT,34,Virginia Tech,27
2024-08-31,NORTHWESTERN,13,Miami (OH),6
2024-08-31,CHARLOTTE,7,James Madison,30
2024-08-31,MARYLAND,50,UConn,7
2024-08-31,MICHIGAN,30,Fresno St.,10
2024-08-31,OREGON,24,Idaho,14
2024-08-31,NEBRASKA,40,UTEP,7
2024-08-31,HAWAII,13,UCLA,16
2024-08-31,WEST VIRGINIA,12,Penn St.,34
2024-08-31,WASHINGTON,35,Weber St.,3
2024-08-31,TEXAS,52,Colorado St.,0
2024-08-31,MASSACHUSETTS,14,Eastern Mich.,28
2024-08-31,OREGON ST.,38,Idaho St.,15
2024-08-31,TEXAS ST.,34,Lamar University,27
2024-08-31,NIU,54,Western Ill.,15
2024-08-31,SYRACUSE,38,Ohio,22
2024-08-31,MARSHALL,45,Stony Brook,3
2024-08-31,SOUTH ALABAMA,38,North Texas,52
2024-08-31,ARKANSAS ST.,34,Central Ark.,31
2024-08-31,TROY,26,Nevada,28
2024-08-31,GEORGIA TECH,35,Georgia St.,12
2024-08-31,APP STATE,38,ETSU,10
2024-08-31,TENNESSEE,69,Chattanooga,3
2024-08-31,GEORGIA,34,Clemson,3
2024-08-31,ALABAMA,63,Western Ky.,0
2024-08-31,AUBURN,73,Alabama A&M,3
2024-08-31,VIRGINIA,34,Richmond,13
2024-08-31,LOUISVILLE,62,Austin Peay,0
2024-08-31,ARIZONA,61,New Mexico,39
2024-08-31,LOUISIANA TECH,25,Nicholls,17
2024-08-31,CALIFORNIA,31,UC Davis,13
2024-08-31,TEXAS TECH,52,Abilene Christian,51
2024-08-31,CINCINNATI,38,Towson,20
2024-08-31,ARIZONA ST.,48,Wyoming,7
2024-08-31,KANSAS ST.,41,UT Martin,6
2024-08-31,BAYLOR,45,Tarleton St.,3
2024-08-31,OKLAHOMA ST.,44,South Dakota St.,20
2024-08-31,HOUSTON,7,UNLV,27
2024-08-31,BYU,41,Southern Ill.,13
2024-08-31,WASHINGTON ST.,70,Portland St.,30
2024-08-31,SAN DIEGO ST.,45,East Texas A&M,14
2024-08-31,AIR FORCE,21,Merrimack,6
2024-08-31,UTAH ST.,36,Robert Morris,14
2024-08-31,RICE,14,Sam Houston,34
2024-08-31,NEW MEXICO ST.,23,Southeast Mo. St.,16
2024-08-31,UTSA,28,Kennesaw St.,16
2024-08-31,MIDDLE TENN.,32,Tennessee Tech,25
2024-08-31,LIBERTY,41,Campbell,24
2024-08-31,EAST CAROLINA,42,Norfolk St.,3
2024-08-31,NAVY,49,Bucknell,21
2024-08-31,MEMPHIS,40,North Ala.,0
2024-08-31,SOUTH FLA.,48,Bethune-Cookman,3
2024-09-01,LSU,20,Southern California,27
2024-09-02,FLORIDA ST.,13,Boston College,28
2024-09-06,INDIANA,77,Western Ill.,3
2024-09-06,SMU,15,BYU,18
2024-09-06,NORTHWESTERN,20,Duke,26
2024-09-07,OHIO ST.,56,Western Mich.,0
2024-09-07,TOLEDO,38,Massachusetts,23
2024-09-07,TEXAS A&M,52,McNeese,10
2024-09-07,LSU,44,Nicholls,21
2024-09-07,OKLAHOMA ST.,39,Arkansas,31
2024-09-07,FLORIDA,45,Samford,7
2024-09-07,KENNESAW ST.,10,Louisiana,34
2024-09-07,NEVADA,17,Ga. Southern,20
2024-09-07,CINCINNATI,27,Pittsburgh,28
2024-09-07,MINNESOTA,48,Rhode Island,0
2024-09-07,IOWA,19,Iowa St.,20
2024-09-07,SOUTHERN MISS.,35,Southeastern La.,10
2024-09-07,KENTUCKY,6,South Carolina,31
2024-09-07,OLE MISS,52,Middle Tenn.,3
2024-09-07,ARIZONA ST.,30,Mississippi St.,23
2024-09-07,MARYLAND,24,Michigan St.,27
2024-09-07,MISSOURI,38,Buffalo,0
2024-09-07,FIU,52,Central Mich.,16
2024-09-07,VIRGINIA TECH,31,Marshall,14
2024-09-07,JAMES MADISON,13,Gardner-Webb,6
2024-09-07,MICHIGAN,12,Texas,31
2024-09-07,ILLINOIS,23,Kansas,17
2024-09-07,OREGON,37,Boise St.,34
2024-09-07,BOSTON COLLEGE,56,Duquesne,0
2024-09-07,NEBRASKA,28,Colorado,10
2024-09-07,RUTGERS,49,Akron,17
2024-09-07,WISCONSIN,27,South Dakota,13
2024-09-07,SOUTHERN CALIFORNIA,48,Utah St.,0
2024-09-07,PENN ST.,34,Bowling Green,27
2024-09-07,WASHINGTON,30,Eastern Mich.,9
2024-09-07,OKLAHOMA,16,Houston,12
2024-09-07,SAN DIEGO ST.,0,Oregon St.,21
2024-09-07,TEXAS ST.,49,UTSA,10
2024-09-07,KENT ST.,17,Saint Francis,23
2024-09-07,NOTRE DAME,14,NIU,16
2024-09-07,BALL ST.,42,Missouri St.,34
2024-09-07,OHIO,27,South Alabama,20
2024-09-07,OLD DOMINION,14,East Carolina,20
2024-09-07,ULM,32,UAB,6
2024-09-07,ARKANSAS ST.,28,Tulsa,24
2024-09-07,MEMPHIS,38,Troy,17
2024-09-07,COASTAL CAROLINA,40,William & Mary,21
2024-09-07,GEORGIA ST.,24,Chattanooga,21
2024-09-07,CLEMSON,66,App State,20
2024-09-07,VANDERBILT,55,Alcorn,0
2024-09-07,NC STATE,10,Tennessee,51
2024-09-07,GEORGIA,48,Tennessee Tech,3
2024-09-07,ALABAMA,42,South Fla.,16
2024-09-07,AUBURN,14,California,21
2024-09-07,WAKE FOREST,30,Virginia,31
2024-09-07,LOUISVILLE,49,Jacksonville St.,14
2024-09-07,SYRACUSE,31,Georgia Tech,28
2024-09-07,NORTH CAROLINA,38,Charlotte,20
2024-09-07,MIAMI (FL),56,Florida A&M,9
2024-09-07,ARIZONA,22,Northern Ariz.,10
2024-09-07,STANFORD,41,Cal Poly,7
2024-09-07,AIR FORCE,7,San Jose St.,17
2024-09-07,UCONN,63,Merrimack,17
2024-09-07,WEST VIRGINIA,49,UAlbany,14
2024-09-07,WASHINGTON ST.,37,Texas Tech,16
2024-09-07,TCU,45,LIU,0
2024-09-07,UCF,45,Sam Houston,14
2024-09-07,TULANE,27,Kansas St.,34
2024-09-07,UTAH,23,Baylor,12
2024-09-07,FLA. ATLANTIC,7,Army West Point,24
2024-09-07,UNLV,72,Utah Tech,14
2024-09-07,WYOMING,13,Idaho,17
2024-09-07,COLORADO ST.,38,Northern Colo.,17
2024-09-07,FRESNO ST.,46,Sacramento St.,30
2024-09-07,WESTERN KY.,31,Eastern Ky.,0
2024-09-07,NEW MEXICO ST.,24,Liberty,30
2024-09-07,UTEP,24,Southern Utah,27
2024-09-07,NAVY,38,Temple,11
2024-09-07,NORTH TEXAS,35,SFA,20
2024-09-07,RICE,69,Texas Southern,7
2024-09-12,TEXAS ST.,28,Arizona St.,31
2024-09-12,SOUTH ALABAMA,87,Northwestern St.,10
2024-09-13,KANSAS,20,UNLV,23
2024-09-13,KANSAS ST.,31,Arizona,7
2024-09-14,UCLA,13,Indiana,42
2024-09-14,PURDUE,7,Notre Dame,66
2024-09-14,MISSISSIPPI ST.,17,Toledo,41
2024-09-14,FLORIDA,20,Texas A&M,33
2024-09-14,SOUTH CAROLINA,33,LSU,36
2024-09-14,ARKANSAS,37,UAB,27
2024-09-14,GA. SOUTHERN,42,South Carolina St.,14
2024-09-14,PITTSBURGH,38,West Virginia,34
2024-09-14,MINNESOTA,27,Nevada,0
2024-09-14,SOUTHERN MISS.,24,South Fla.,49
2024-09-14,IOWA,38,Troy,21
2024-09-14,FLORIDA ST.,12,Memphis,20
2024-09-14,WAKE FOREST,6,Ole Miss,40
2024-09-14,MICHIGAN ST.,40,Prairie View,0
2024-09-14,BUFFALO,34,Massachusetts,3
2024-09-14,ILLINOIS,30,Central Mich.,9
2024-09-14,OLD DOMINION,17,Virginia Tech,37
2024-09-14,NORTHWESTERN,31,Eastern Ill.,7
2024-09-14,VIRGINIA,13,Maryland,27
2024-09-14,MICHIGAN,28,Arkansas St.,18
2024-09-14,OREGON ST.,14,Oregon,49
2024-09-14,MISSOURI,27,Boston College,21
2024-09-14,NEBRASKA,34,UNI,3
2024-09-14,WISCONSIN,10,Alabama,42
2024-09-14,WASHINGTON,19,Washington St.,24
2024-09-14,TEXAS,56,UTSA,7
2024-09-14,EASTERN MICH.,37,Jacksonville St.,34
2024-09-14,OKLAHOMA,34,Tulane,19
2024-09-14,AKRON,31,Colgate,20
2024-09-14,WESTERN MICH.,59,Bethune-Cookman,31
2024-09-14,TENNESSEE,71,Kent St.,0
2024-09-14,MIAMI (OH),16,Cincinnati,27
2024-09-14,MIAMI (FL),62,Ball St.,0
2024-09-14,OHIO,21,Morgan St.,6
2024-09-14,TEMPLE,20,Coastal Carolina,28
2024-09-14,GEORGIA ST.,36,Vanderbilt,32
2024-09-14,EAST CAROLINA,19,App State,21
2024-09-14,KENTUCKY,12,Georgia,13
2024-09-14,AUBURN,45,New Mexico,19
2024-09-14,GEORGIA TECH,59,VMI,7
2024-09-14,NORTH CAROLINA,45,N.C. Central,10
2024-09-14,DUKE,26,UConn,21
2024-09-14,SAN JOSE ST.,31,Kennesaw St.,10
2024-09-14,NC STATE,30,Louisiana Tech,20
2024-09-14,CALIFORNIA,31,San Diego St.,10
2024-09-14,TEXAS TECH,66,North Texas,21
2024-09-14,TCU,34,UCF,35
2024-09-14,COLORADO ST.,9,Colorado,28
2024-09-14,TULSA,10,Oklahoma St.,45
2024-09-14,UTAH ST.,21,Utah,38
2024-09-14,BAYLOR,31,Air Force,3
2024-09-14,HOUSTON,33,Rice,7
2024-09-14,WYOMING,14,BYU,34
2024-09-14,FRESNO ST.,48,New Mexico St.,0
2024-09-14,SAM HOUSTON,31,Hawaii,13
2024-09-14,MIDDLE TENN.,21,Western Ky.,49
2024-09-14,LIBERTY,28,UTEP,10
2024-09-14,FLA. ATLANTIC,38,FIU,20
2024-09-14,CHARLOTTE,27,Gardner-Webb,26
2024-09-16,APP STATE,14,South Alabama,48
2024-09-20,NEBRASKA,24,Illinois,31
2024-09-20,SYRACUSE,24,Stanford,26
2024-09-20,WASHINGTON ST.,54,San Jose St.,52
2024-09-21,INDIANA,52,Charlotte,14
2024-09-21,OREGON ST.,38,Purdue,21
2024-09-21,OHIO ST.,49,Marshall,14
2024-09-21,SMU,66,TCU,42
2024-09-21,WESTERN KY.,26,Toledo,21
2024-09-21,TEXAS A&M,26,Bowling Green,20
2024-09-21,LSU,34,UCLA,17
2024-09-21,AUBURN,14,Arkansas,24
2024-09-21,MISSISSIPPI ST.,28,Florida,45
2024-09-21,LOUISIANA,33,Tulane,41
2024-09-21,OLE MISS,52,Ga. Southern,13
2024-09-21,PITTSBURGH,73,Youngstown St.,17
2024-09-21,MINNESOTA,14,Iowa,31
2024-09-21,IOWA ST.,52,Arkansas St.,7
2024-09-21,JACKSONVILLE ST.,44,Southern Miss.,7
2024-09-21,FLORIDA ST.,14,California,9
2024-09-21,SOUTH CAROLINA,50,Akron,7
2024-09-21,BOSTON COLLEGE,23,Michigan St.,19
2024-09-21,NIU,20,Buffalo,23
2024-09-21,CENTRAL MICH.,37,Ball St.,34
2024-09-21,VIRGINIA TECH,23,Rutgers,26
2024-09-21,WASHINGTON,24,Northwestern,5
2024-09-21,NORTH CAROLINA,50,James Madison,70
2024-09-21,MARYLAND,38,Villanova,20
2024-09-21,MICHIGAN,27,Southern California,24
2024-09-21,MISSOURI,30,Vanderbilt,27
2024-09-21,PENN ST.,56,Kent St.,0
2024-09-21,TEXAS,51,ULM,3
2024-09-21,EASTERN MICH.,36,Saint Francis,0
2024-09-21,OKLAHOMA,15,Tennessee,25
2024-09-21,NOTRE DAME,28,Miami (OH),3
2024-09-21,KENTUCKY,41,Ohio,6
2024-09-21,MASSACHUSETTS,35,Central Conn. St.,31
2024-09-21,TROY,34,Florida A&M,12
2024-09-21,COASTAL CAROLINA,24,Virginia,43
2024-09-21,CLEMSON,59,NC State,35
2024-09-21,LOUISVILLE,31,Georgia Tech,19
2024-09-21,MIDDLE TENN.,17,Duke,45
2024-09-21,SOUTH FLA.,15,Miami (FL),50
2024-09-21,WEST VIRGINIA,32,Kansas,28
2024-09-21,LOUISIANA TECH,20,Tulsa,23
2024-09-21,UCONN,48,Fla. Atlantic,14
2024-09-21,TEXAS TECH,30,Arizona St.,22
2024-09-21,CINCINNATI,34,Houston,0
2024-09-21,COLORADO,38,Baylor,31
2024-09-21,BYU,38,Kansas St.,9
2024-09-21,OKLAHOMA ST.,19,Utah,22
