Date,Home Team,Home Points,Away Team,Away Points
2024-11-04,IU Indy,100,IU Columbus,44
2024-11-04,Middle Tenn.,97,Oglethorpe,51
2024-11-04,UT Arlington,90,UNT Dallas,55
2024-11-04,Southern Ill.,80,Col. of Charleston,90
2024-11-04,Jacksonville St.,112,LaGrange,48
2024-11-04,Santa Clara,85,Saint Louis,78
2024-11-04,Stanford,85,Denver,62
2024-11-04,UMBC,95,Penn St.-York,66
2024-11-04,Stonehill,81,Framingham St.,62
2024-11-04,Wofford,112,Erskine,58
2024-11-04,Liberty,83,Valparaiso,63
2024-11-04,Hofstra,89,Old Westbury,62
2024-11-04,Harvard,79,Marist,66
2024-11-04,Temple,81,Sacred Heart,70
2024-11-04,South Dakota St.,80,McNeese,73
2024-11-04,Drexel,95,Georgian Court,43
2024-11-04,Purdue,90,A&M-Corpus Christi,73
2024-11-04,VMI,103,Washington Col.,54
2024-11-04,UMass Lowell,115,Rivier,59
2024-11-04,Niagara,100,Houghton,65
2024-11-04,Winthrop,125,Piedmont,65
2024-11-04,App State,63,Miami (OH),77
2024-11-04,St. John's (NY),92,Fordham,60
2024-11-04,Delaware,73,Bucknell,85
2024-11-04,Butler,72,Missouri St.,65
2024-11-04,Jacksonville,78,Trinity Baptist,65
2024-11-04,Kentucky,103,Wright St.,62
2024-11-04,N.C. A&T,107,Cheyney,55
2024-11-04,VCU,84,Bellarmine,65
2024-11-04,NJIT,57,Penn,58
2024-11-04,Old Dominion,82,Buffalo,83
2024-11-04,James Madison,88,Ohio,78
2024-11-04,Queens (NC),90,Lynchburg,39
2024-11-04,William & Mary,84,Dickinson,36
2024-11-04,George Mason,75,N.C. Central,58
2024-11-04,La Salle,65,American,52
2024-11-04,Davidson,88,William Peace,47
2024-11-04,Miami (FL),113,FDU,72
2024-11-04,Stetson,94,New College (FL),75
2024-11-04,Syracuse,86,Le Moyne,82
2024-11-04,Troy,84,Toledo,74
2024-11-04,Massachusetts,103,New Hampshire,74
2024-11-04,Detroit Mercy,91,Cleary,52
2024-11-04,Dartmouth,129,VTSU Lyndon,47
2024-11-04,Oakland,75,Defiance,52
2024-11-04,Cincinnati,109,Ark.-Pine Bluff,54
2024-11-04,Marshall,90,Davis & Elkins,57
2024-11-04,Prairie View,111,Biblical Stud. (TX),90
2024-11-04,Cornell,93,Marywood,52
2024-11-04,South Carolina St.,137,Morris,55
2024-11-04,ETSU,72,Newberry,51
2024-11-04,Maryland,79,Manhattan,49
2024-11-04,Morgan St.,89,Frostburg St.,76
2024-11-04,Michigan St.,81,Monmouth,57
2024-11-04,Dayton,87,Saint Francis,57
2024-11-04,NC State,97,USC Upstate,66
2024-11-04,Saint Joseph's,70,Navy,63
2024-11-04,East Carolina,97,N.C. Wesleyan,70
2024-11-04,Louisville,93,Morehead St.,45
2024-11-04,Siena,72,Brown,71
2024-11-04,South Carolina,71,North Florida,74
2024-11-04,UCF,64,Texas A&M,61
2024-11-04,Loyola Maryland,78,Columbia,81
2024-11-04,Tennessee,80,Gardner-Webb,64
2024-11-04,Eastern Ky.,98,Alice Lloyd,69
2024-11-04,Kansas City,91,Hannibal-La Grange,68
2024-11-04,Georgia St.,71,Ball St.,66
2024-11-04,Purdue Fort Wayne,99,Bluffton,47
2024-11-04,Pittsburgh,96,Radford,56
2024-11-04,Princeton,81,Iona,80
2024-11-04,Milwaukee,118,Lakeland,62
2024-11-04,Duke,96,Maine,62
2024-11-04,St. Bonaventure,70,CSUN,56
2024-11-04,UNCW,143,Mount Olive,91
2024-11-04,Florida St.,74,Northern Ky.,62
2024-11-04,Furman,104,Columbia Int'l,46
2024-11-04,Ga. Southern,80,NIU,65
2024-11-04,West Virginia,87,Robert Morris,59
2024-11-04,Mount St. Mary's,98,Notre Dame (MD),62
2024-11-04,Hampton,110,Mid-Atlantic Christ.,53
2024-11-04,Clemson,91,Charleston So.,64
2024-11-04,UNC Greensboro,73,FGCU,64
2024-11-04,Coastal Carolina,60,Western Mich.,56
2024-11-04,Providence,59,Central Conn. St.,55
2024-11-04,Xavier,78,Texas Southern,69
2024-11-04,Drake,93,York (NE),41
2024-11-04,Tulane,76,La. Christian,42
2024-11-04,Longwood,79,Randolph,68
2024-11-04,Louisiana Tech,77,LSU-Alexandria,50
2024-11-04,Campbell,96,Pfeiffer,49
2024-11-04,UAB,62,Vermont,67
2024-11-04,Samford,100,Mississippi Col.,58
